zip,population,lat,lng,tornado_calls,calls_per_pop,,
37013,"97,819",36.05930,-86.67060,17,0.174,,
37015,0,36.29270,-87.08240,0,0.000,,
37027,55130,35.98050,-86.76170,20,0.363,,
37072,"32,033",36.37000,-86.72150,3,0.094,,
37076,"38,957",36.16050,-86.59050,56,1.437,,
37080,"7,349",36.33200,-86.92230,1,0.136,,
37086,0,36.02900,-86.55020,0,0.000,,
37115,"40,484",36.27220,-86.71150,12,0.296,,
37122,0,36.18980,-86.47940,0,0.000,,
37138,"24,229",36.24280,-86.62580,2,0.083,,
37143,0,36.12830,87.01240,0,0.000,,
37189,"3,801",36.27550,-86.83210,7,1.842,,
37201,"1,372",36.17250,-86.78060,12,8.746,,
37203,"14,232",36.15240,-86.78940,14,0.984,,
37204,"14,768",36.10030,-86.77180,1,0.068,,
37205,"24,785",36.10300,-86.87220,2,0.081,,
37206,"25,470",36.18050,-86.72650,90,3.534,,
37207,"38,583",36.23050,-86.77180,30,0.778,,
37208,"17,582",36.17180,-86.80700,80,4.550,,
37209,"38,794",36.14850,-86.95240,24,0.619,,
37210,"17,935",36.14820,-86.73660,8,0.446,,
37211,"76,834",36.07750,-86.73160,5,0.065,,
37212,"21,031",36.13900,-86.79690,2,0.095,,
37213,100,36.16670,-86.76800,6,0.000,,
37214,"30,151",36.14100,-86.67120,32,1.061,,
37215,"22,414",36.08020,-86.83210,4,0.178,,
37216,"18,609",36.21310,-86.72650,3,0.161,,
37217,31218,36.10230,-86.64600,73,2.338,,
37218,"15,198",36.23370,-86.89230,2,0.132,,
37219,"1,134",36.16650,-86.78370,9,7.937,,
37220,5763,36.06250,-86.77680,0,0.000,,
37221,"40,425",36.07270,-86.96240,3,0.074,,
37228,"1,206",36.19620,-86.80450,1,0.829,,
37232,0,36.14260,-86.80010,0,0.000,,
37240,0,36.14570,-86.80670,0,0.000,,
